,individual,language_indiv,filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,correct_answer,binarized_answer,nb_stimuli,TGT_first_code,language_indiv_code,language_stimuli,language_stimuli_code
65,0,french,TU_TRIP9973_1,ɯ,œ,d,ʃ,TU244,TU206,TU88,TU-participant1,TU-participant4,True,2,1,65,1,1,TU,5
66,0,french,FR_TRIP65129_0,œ,ø,z,b,FR1599,FR1230,FR4446,FR-participant4,FR-participant8,False,-3,-1,66,0,1,FR,0
67,0,french,ES_TRIP22578_0,ɤ:,æ:,s,t,ES85,ES97,ES13,ES-participant4,ES-participant2,False,2,1,67,0,1,ES,6
68,0,french,BR_TRIP65865_1,ẽ,ĩ,l,s,BR839,BR688,BR546,BR-participant1,BR-participant3,True,2,1,68,1,1,BR,2
69,0,french,GR_TRIP41043_1,ʏ,yː,b,s,GR28,GR4,GR396,GR-participant6,GR-participant3,True,-2,-1,69,1,1,GR,3
70,0,french,TU_TRIP7840_0,i,u,ʃ,t,TU15,TU35,TU166,TU-participant2,TU-participant3,False,2,1,70,0,1,TU,5
71,0,french,EN_TRIP31897_1,ɑ,æ,f,s,EN1219,EN1417,EN10,EN-participant3,EN-participant6,True,2,1,71,1,1,EN,1
72,0,french,BR_TRIP53536_1,õ,ɐ̃,m,d,BR702,BR679,BR92,BR-participant1,BR-participant2,True,3,1,72,1,1,BR,2
73,0,french,ES_TRIP27779_0,æ:,a:,m,v,ES187,ES212,ES58,ES-participant3,ES-participant2,False,2,1,73,0,1,ES,6
74,0,french,BR_TRIP32404_1,ĩ,ẽ,s,t,BR1030,BR921,BR692,BR-participant5,BR-participant1,True,3,1,74,1,1,BR,2
75,0,french,EN_TRIP36468_0,u,ʊ,z,f,EN1462,EN1342,EN2052,EN-participant3,EN-participant7,False,3,1,75,0,1,EN,1
76,0,french,FR_TRIP38291_0,ɛ̃,ɑ̃,f,f,FR4094,FR4487,FR3486,FR-participant8,FR-participant5,False,3,1,76,0,1,FR,0
77,0,french,BR_TRIP57043_1,ɔ,o,t,f,BR825,BR828,BR1000,BR-participant1,BR-participant5,True,2,1,77,1,1,BR,2
78,0,french,GR_TRIP70267_1,ʊ,ʏ,f,t,GR709,GR694,GR424,GR-participant5,GR-participant3,True,3,1,78,1,1,GR,3
79,0,french,GL_TRIP1487_1,ɛ,e,p,p,GLO110,GLO107,GLO52,S04F,S05M,True,3,1,79,1,1,GL,4
80,0,french,FR_TRIP19034_0,ɛ̃,e,z,b,FR1962,FR1914,FR1480,FR-participant3,FR-participant4,False,2,1,80,0,1,FR,0
81,0,french,GR_TRIP12691_0,øː,yː,ts,k,GR172,GR138,GR85,GR-participant2,GR-participant6,False,-3,-1,81,0,1,GR,3
82,0,french,GR_TRIP3847_1,ʏ,ɪ,ɡ,s,GR198,GR188,GR323,GR-participant2,GR-participant4,True,3,1,82,1,1,GR,3
83,0,french,BR_TRIP55038_1,ũ,u,d,k,BR661,BR835,BR27,BR-participant1,BR-participant2,True,3,1,83,1,1,BR,2
84,0,french,EN_TRIP39905_1,ʌ,ɑ,z,b,EN1599,EN1639,EN2671,EN-participant1,EN-participant8,True,-1,-1,84,1,1,EN,1
85,0,french,GR_TRIP52397_0,iː,yː,z,t,GR120,GR43,GR626,GR-participant6,GR-participant1,False,-1,-1,85,0,1,GR,3
86,0,french,ES_TRIP33123_1,ɤ:,ø:,l,s,ES220,ES267,ES19,ES-participant1,ES-participant2,True,-1,-1,86,1,1,ES,6
87,0,french,ES_TRIP6338_0,æ:,ø:,s,t,ES64,ES60,ES121,ES-participant2,ES-participant4,False,3,1,87,0,1,ES,6
88,0,french,TU_TRIP11024_0,u,y,t,s,TU203,TU236,TU100,TU-participant1,TU-participant4,False,3,1,88,0,1,TU,5
89,0,french,TU_TRIP1688_0,y,œ,t,s,TU80,TU105,TU48,TU-participant4,TU-participant2,False,3,1,89,0,1,TU,5
90,0,french,ES_TRIP3784_1,y:,ɤ:,m,v,ES57,ES7,ES186,ES-participant2,ES-participant3,True,2,1,90,1,1,ES,6
91,0,french,BR_TRIP31307_0,i,ɛ,f,s,BR994,BR862,BR794,BR-participant5,BR-participant1,False,3,1,91,0,1,BR,2
92,0,french,GL_TRIP1705_0,a,aː,g,g,GLO102,GLO1,GLO127,S02M,S05M,False,2,1,92,0,1,GL,4
93,0,french,BR_TRIP48875_1,i,ĩ,s,k,BR373,BR266,BR132,BR-participant4,BR-participant2,True,1,1,93,1,1,BR,2
94,0,french,GL_TRIP2320_1,i,e,g,g,GLO99,GLO80,GLO69,S07F,S03M,True,3,1,94,1,1,GL,4
95,0,french,FR_TRIP50122_0,o,ɔ,z,b,FR526,FR37,FR1888,FR-participant6,FR-participant3,False,-1,-1,95,0,1,FR,0
96,0,french,FR_TRIP66474_1,i,e,z,f,FR1668,FR1626,FR3185,FR-participant4,FR-participant7,True,2,1,96,1,1,FR,0
97,0,french,EN_TRIP24138_1,ɑ,æ,f,s,EN563,EN469,EN1939,EN-participant2,EN-participant7,True,3,1,97,1,1,EN,1
98,0,french,ES_TRIP28537_1,ɤ:,æ:,s,t,ES166,ES193,ES298,ES-participant3,ES-participant5,True,3,1,98,1,1,ES,6
99,0,french,FR_TRIP76049_0,e,ɛ,f,f,FR3553,FR3742,FR1930,FR-participant5,FR-participant3,False,3,1,99,0,1,FR,0
100,0,french,BR_TRIP2928_1,a,ɐ̃,t,t,BR72,BR3,BR729,BR-participant2,BR-participant1,True,-2,-1,100,1,1,BR,2
101,0,french,ES_TRIP12840_0,i:,æ:,l,s,ES305,ES307,ES221,ES-participant5,ES-participant1,False,3,1,101,0,1,ES,6
102,0,french,BR_TRIP4180_0,ĩ,e,z,b,BR15,BR82,BR304,BR-participant2,BR-participant4,False,-1,-1,102,0,1,BR,2
103,0,french,TU_TRIP1406_0,i,u,t,s,TU77,TU69,TU45,TU-participant4,TU-participant2,False,2,1,103,0,1,TU,5
104,0,french,GR_TRIP60074_1,ɪ,iː,f,t,GR302,GR372,GR636,GR-participant4,GR-participant1,True,-3,-1,104,1,1,GR,3
105,0,french,ES_TRIP21355_1,y:,ø:,m,v,ES114,ES111,ES45,ES-participant4,ES-participant2,True,1,1,105,1,1,ES,6
106,0,french,FR_TRIP2187_0,ɔ̃,ɑ̃,f,f,FR924,FR994,FR3732,FR-participant2,FR-participant5,False,-1,-1,106,0,1,FR,0
107,0,french,FR_TRIP84142_0,ɔ,ø,z,f,FR3596,FR3968,FR4007,FR-participant5,FR-participant8,False,3,1,107,0,1,FR,0
108,0,french,FR_TRIP35302_1,y,i,z,b,FR4329,FR4402,FR1270,FR-participant8,FR-participant4,True,3,1,108,1,1,FR,0
109,0,french,EN_TRIP3374_1,ɪ,æ,z,f,EN181,EN160,EN962,EN-participant6,EN-participant4,True,-2,-1,109,1,1,EN,1
110,0,french,BR_TRIP58555_0,e,i,f,s,BR818,BR759,BR1018,BR-participant1,BR-participant5,False,3,1,110,0,1,BR,2
111,0,french,GL_TRIP2358_0,ɛ,i,g,g,GLO158,GLO99,GLO18,S07F,S03M,False,3,1,111,0,1,GL,4
112,0,french,GR_TRIP19755_1,yː,ʏ,f,t,GR492,GR511,GR5,GR-participant3,GR-participant6,True,-3,-1,112,1,1,GR,3
113,0,french,BR_TRIP18676_0,õ,ɔ,k,s,BR514,BR603,BR653,BR-participant3,BR-participant1,False,-1,-1,113,0,1,BR,2
114,0,french,BR_TRIP38638_1,ũ,õ,k,b,BR278,BR423,BR902,BR-participant4,BR-participant5,True,-3,-1,114,1,1,BR,2
115,0,french,FR_TRIP76057_0,œ,o,f,f,FR3566,FR3409,FR4245,FR-participant5,FR-participant8,False,3,1,115,0,1,FR,0
116,0,french,BR_TRIP37271_1,u,o,b,k,BR396,BR237,BR1038,BR-participant4,BR-participant5,True,3,1,116,1,1,BR,2
117,0,french,ES_TRIP18403_1,æ:,y:,m,v,ES355,ES342,ES259,ES-participant5,ES-participant1,True,3,1,117,1,1,ES,6
118,0,french,EN_TRIP7163_0,ʌ,æ,z,b,EN2217,EN2014,EN1599,EN-participant7,EN-participant1,False,2,1,118,0,1,EN,1
119,0,french,TU_TRIP9075_1,ɯ,i,ʃ,t,TU242,TU221,TU161,TU-participant1,TU-participant3,True,2,1,119,1,1,TU,5
120,0,french,BR_TRIP5676_0,ɐ̃,õ,k,s,BR192,BR19,BR230,BR-participant2,BR-participant4,False,-2,-1,120,0,1,BR,2
121,0,french,FR_TRIP12283_1,u,ɔ,f,f,FR1725,FR2004,FR2321,FR-participant3,FR-participant1,True,1,1,121,1,1,FR,0
122,0,french,BR_TRIP65982_1,ĩ,ɐ̃,l,s,BR845,BR764,BR876,BR-participant1,BR-participant5,True,1,1,122,1,1,BR,2
123,0,french,TU_TRIP8137_0,ɯ,u,ʃ,t,TU11,TU29,TU117,TU-participant2,TU-participant4,False,3,1,123,0,1,TU,5
124,0,french,FR_TRIP66201_1,ɑ̃,ɛ̃,z,f,FR1523,FR1483,FR1860,FR-participant4,FR-participant3,True,2,1,124,1,1,FR,0
125,0,french,EN_TRIP31865_0,ɛ,eɪ,f,s,EN1183,EN1393,EN156,EN-participant3,EN-participant6,False,2,1,125,0,1,EN,1
126,0,french,GR_TRIP63358_0,aː,yː,b,s,GR260,GR294,GR602,GR-participant4,GR-participant1,False,3,1,126,0,1,GR,3
127,0,french,ES_TRIP6779_0,a:,ɤ:,s,t,ES65,ES13,ES122,ES-participant2,ES-participant4,False,2,1,127,0,1,ES,6
128,0,french,BR_TRIP25907_1,ẽ,õ,m,d,BR1024,BR954,BR410,BR-participant5,BR-participant4,True,3,1,128,1,1,BR,2
129,0,french,TU_TRIP6147_1,y,i,f,z,TU4,TU13,TU154,TU-participant2,TU-participant3,True,2,1,129,1,1,TU,5
130,0,french,BR_TRIP16944_1,ũ,ẽ,m,d,BR570,BR553,BR277,BR-participant3,BR-participant4,True,3,1,130,1,1,BR,2
131,0,french,FR_TRIP66345_0,œ,ɔ,z,f,FR1602,FR1306,FR3367,FR-participant4,FR-participant7,False,1,1,131,0,1,FR,0
132,0,french,ES_TRIP7549_1,ɤ:,i:,l,s,ES31,ES32,ES232,ES-participant2,ES-participant1,True,1,1,132,1,1,ES,6
133,0,french,GR_TRIP39433_0,ʊ,uː,z,t,GR617,GR560,GR322,GR-participant1,GR-participant4,False,-2,-1,133,0,1,GR,3
134,0,french,EN_TRIP14852_0,ʌ,ʊ,t,s,EN2484,EN2397,EN969,EN-participant5,EN-participant4,False,3,1,134,0,1,EN,1
135,0,french,TU_TRIP4400_1,œ,ɯ,t,s,TU149,TU173,TU65,TU-participant3,TU-participant2,True,2,1,135,1,1,TU,5
136,0,french,BR_TRIP9418_1,e,ɛ,f,s,BR43,BR75,BR323,BR-participant2,BR-participant4,True,3,1,136,1,1,BR,2
137,0,french,BR_TRIP14932_0,ũ,ĩ,z,b,BR574,BR554,BR673,BR-participant3,BR-participant1,False,3,1,137,0,1,BR,2
138,0,french,FR_TRIP6910_0,ɛ̃,e,z,b,FR714,FR865,FR159,FR-participant2,FR-participant6,False,2,1,138,0,1,FR,0
139,0,french,GR_TRIP66990_1,uː,yː,ts,k,GR334,GR284,GR409,GR-participant4,GR-participant3,True,2,1,139,1,1,GR,3
140,0,french,EN_TRIP17203_0,i,ɪ,z,b,EN2864,EN2979,EN811,EN-participant8,EN-participant4,False,-1,-1,140,0,1,EN,1
141,0,french,GR_TRIP76827_1,aː,ʏ,f,s,GR657,GR693,GR388,GR-participant5,GR-participant3,True,3,1,141,1,1,GR,3
142,0,french,GL_TRIP150_1,ɔ,o,p,p,GLO132,GLO32,GLO30,S03M,S01F,True,3,1,142,1,1,GL,4
143,0,french,EN_TRIP27102_0,ɑ,u,z,b,EN772,EN1144,EN1924,EN-participant4,EN-participant7,False,3,1,143,0,1,EN,1
144,0,french,BR_TRIP32743_1,ũ,ɐ̃,s,t,BR894,BR918,BR337,BR-participant5,BR-participant4,True,2,1,144,1,1,BR,2
145,0,french,BR_TRIP48469_0,ĩ,i,s,k,BR266,BR373,BR154,BR-participant4,BR-participant2,False,-2,-1,145,0,1,BR,2
146,0,french,EN_TRIP3413_0,ʊ,ɪ,z,f,EN207,EN181,EN651,EN-participant6,EN-participant2,False,3,1,146,0,1,EN,1
147,0,french,FR_TRIP76549_1,ø,œ,f,f,FR3981,FR3566,FR2968,FR-participant5,FR-participant7,True,2,1,147,1,1,FR,0
148,0,french,GL_TRIP2141_0,i,e,f,f,GLO16,GLO76,GLO58,S01F,S05M,False,2,1,148,0,1,GL,4
149,0,french,BR_TRIP31849_1,ẽ,ɐ̃,l,s,BR1020,BR1047,BR769,BR-participant5,BR-participant1,True,3,1,149,1,1,BR,2
150,0,french,ES_TRIP12737_1,i:,y:,l,s,ES293,ES318,ES125,ES-participant5,ES-participant4,True,3,1,150,1,1,ES,6
151,0,french,GR_TRIP36940_0,øː,ʏ,l,t,GR519,GR587,GR123,GR-participant1,GR-participant6,False,2,1,151,0,1,GR,3
152,0,french,BR_TRIP17061_1,ĩ,õ,l,g,BR556,BR587,BR689,BR-participant3,BR-participant1,True,1,1,152,1,1,BR,2
153,0,french,FR_TRIP65103_1,ɛ,ɛ̃,z,b,FR1563,FR1480,FR1812,FR-participant4,FR-participant3,True,2,1,153,1,1,FR,0
154,0,french,TU_TRIP10892_0,ɯ,y,f,z,TU262,TU222,TU128,TU-participant1,TU-participant4,False,3,1,154,0,1,TU,5
155,0,french,GR_TRIP23300_1,yː,iː,b,s,GR440,GR462,GR763,GR-participant3,GR-participant5,True,3,1,155,1,1,GR,3
156,0,french,GR_TRIP48292_0,uː,ʊ,f,t,GR51,GR92,GR576,GR-participant6,GR-participant1,False,2,1,156,0,1,GR,3
157,0,french,BR_TRIP27873_0,a,ɐ̃,k,s,BR856,BR914,BR359,BR-participant5,BR-participant4,False,2,1,157,0,1,BR,2
158,0,french,ES_TRIP18456_0,æ:,a:,m,v,ES343,ES344,ES247,ES-participant5,ES-participant1,False,3,1,158,0,1,ES,6
159,0,french,ES_TRIP29318_1,æ:,y:,s,t,ES193,ES192,ES64,ES-participant3,ES-participant2,True,3,1,159,1,1,ES,6
160,0,french,BR_TRIP36377_1,õ,ɔ,d,g,BR268,BR379,BR588,BR-participant4,BR-participant3,True,3,1,160,1,1,BR,2
161,0,french,BR_TRIP66562_0,i,ɛ,d,s,BR758,BR731,BR496,BR-participant1,BR-participant3,False,1,1,161,0,1,BR,2
162,0,french,GR_TRIP50100_1,iː,ɪ,f,t,GR121,GR48,GR572,GR-participant6,GR-participant1,True,2,1,162,1,1,GR,3
163,0,french,GR_TRIP67979_0,ʊ,ʏ,z,t,GR710,GR717,GR238,GR-participant5,GR-participant2,False,-2,-1,163,0,1,GR,3
164,0,french,BR_TRIP7603_0,ɐ̃,ĩ,l,s,BR138,BR61,BR233,BR-participant2,BR-participant4,False,1,1,164,0,1,BR,2
165,0,french,TU_TRIP10445_1,i,u,f,z,TU232,TU202,TU177,TU-participant1,TU-participant3,True,2,1,165,1,1,TU,5
166,0,french,FR_TRIP17801_1,ɔ,u,z,f,FR2219,FR2058,FR2480,FR-participant3,FR-participant1,True,2,1,166,1,1,FR,0
167,0,french,ES_TRIP6615_0,æ:,a:,s,t,ES64,ES17,ES88,ES-participant2,ES-participant4,False,2,1,167,0,1,ES,6
168,0,french,GL_TRIP104_1,i,ɛ,p,p,GLO78,GLO39,GLO25,S03M,S04F,True,3,1,168,1,1,GL,4
169,0,french,ES_TRIP22878_0,i:,æ:,s,t,ES119,ES88,ES14,ES-participant4,ES-participant2,False,3,1,169,0,1,ES,6
170,0,french,FR_TRIP49482_1,ɔ̃,ɑ̃,z,b,FR80,FR453,FR4247,FR-participant6,FR-participant8,True,2,1,170,1,1,FR,0
171,0,french,EN_TRIP8682_0,ɪ,ʊ,f,s,EN1991,EN2269,EN1763,EN-participant7,EN-participant1,False,3,1,171,0,1,EN,1
172,0,french,BR_TRIP8870_1,ĩ,õ,s,t,BR65,BR91,BR849,BR-participant2,BR-participant1,True,3,1,172,1,1,BR,2
173,0,french,EN_TRIP3354_0,ɪ,i,z,f,EN181,EN22,EN962,EN-participant6,EN-participant4,False,3,1,173,0,1,EN,1
174,0,french,FR_TRIP50710_1,ɛ̃,ɛ,z,f,FR162,FR345,FR1965,FR-participant6,FR-participant3,True,3,1,174,1,1,FR,0
175,0,french,GL_TRIP975_0,o,ɔ,f,f,GLO125,GLO61,GLO60,S05M,S02M,False,3,1,175,0,1,GL,4
176,0,french,ES_TRIP8664_1,æ:,ø:,l,s,ES70,ES66,ES223,ES-participant2,ES-participant1,True,3,1,176,1,1,ES,6
177,0,french,BR_TRIP55377_0,ũ,ĩ,z,b,BR673,BR687,BR895,BR-participant1,BR-participant5,False,2,1,177,0,1,BR,2
178,0,french,EN_TRIP36499_1,ʌ,ʊ,z,f,EN1514,EN1342,EN367,EN-participant3,EN-participant6,True,2,1,178,1,1,EN,1
179,0,french,BR_TRIP51188_0,õ,ẽ,t,t,BR699,BR771,BR21,BR-participant1,BR-participant2,False,3,1,179,0,1,BR,2
180,1,french,BR_TRIP36633_1,õ,ɔ,k,f,BR271,BR234,BR20,BR-participant4,BR-participant2,True,1,1,0,1,1,BR,2
181,1,french,EN_TRIP8810_0,u,ʊ,f,s,EN2244,EN2269,EN1878,EN-participant7,EN-participant1,False,1,1,1,0,1,EN,1
182,1,french,ES_TRIP6410_1,æ:,ɤ:,s,t,ES64,ES25,ES121,ES-participant2,ES-participant4,True,3,1,2,1,1,ES,6
183,1,french,GR_TRIP30718_0,yː,øː,ts,k,GR531,GR585,GR45,GR-participant1,GR-participant6,False,1,1,3,0,1,GR,3
184,1,french,BR_TRIP25387_1,ĩ,ɐ̃,z,b,BR1025,BR1046,BR774,BR-participant5,BR-participant1,True,3,1,4,1,1,BR,2
185,1,french,FR_TRIP66474_0,i,e,z,f,FR1668,FR1626,FR3185,FR-participant4,FR-participant7,False,-3,-1,5,0,1,FR,0
