filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code
EN_TRIP3200_1,u,ʊ,z,f,EN47,EN207,EN1866,EN-participant6,EN-participant1,TRUE,1,EN,1
BR_TRIP58975_0,ĩ,e,s,p,BR647,BR735,BR558,BR-participant1,BR-participant3,FALSE,0,BR,2
BR_TRIP18676_1,õ,ɔ,k,s,BR514,BR603,BR653,BR-participant3,BR-participant1,TRUE,1,BR,2
ES_TRIP9599_0,ø:,æ:,s,t,ES297,ES301,ES189,ES-participant5,ES-participant3,FALSE,0,ES,6
FR_TRIP17398_1,ø,ɔ,z,f,FR1834,FR2219,FR3968,FR-participant3,FR-participant5,TRUE,1,FR,0
GR_TRIP8946_0,aː,yː,f,t,GR202,GR134,GR19,GR-participant2,GR-participant6,FALSE,0,GR,3
BR_TRIP46922_1,ĩ,õ,s,t,BR265,BR275,BR159,BR-participant4,BR-participant2,TRUE,1,BR,2
GL_TRIP1774_0,e,ɛ,p,p,GLO86,GLO160,GLO2,S02M,S03M,FALSE,0,GL,4
BR_TRIP13188_1,ɐ̃,a,t,t,BR539,BR627,BR675,BR-participant3,BR-participant1,TRUE,1,BR,2
TU_TRIP3761_0,y,i,f,z,TU167,TU177,TU257,TU-participant3,TU-participant1,FALSE,0,TU,5
EN_TRIP6872_1,eɪ,ɛ,z,b,EN1950,EN2085,EN1009,EN-participant7,EN-participant4,TRUE,1,EN,1
FR_TRIP8045_0,i,e,z,f,FR780,FR868,FR2450,FR-participant2,FR-participant1,FALSE,0,FR,0
GR_TRIP51064_1,yː,uː,z,t,GR43,GR14,GR553,GR-participant6,GR-participant1,TRUE,1,GR,3
ES_TRIP8284_0,y:,ø:,l,s,ES69,ES18,ES126,ES-participant2,ES-participant4,FALSE,0,ES,6
BR_TRIP16561_1,ẽ,ũ,m,d,BR553,BR520,BR303,BR-participant3,BR-participant4,TRUE,1,BR,2
TU_TRIP8718_0,y,œ,d,ʃ,TU8,TU40,TU83,TU-participant2,TU-participant4,FALSE,0,TU,5
FR_TRIP30693_1,ɛ̃,ɛ,f,f,FR3111,FR2928,FR1157,FR-participant7,FR-participant4,TRUE,1,FR,0
ES_TRIP10681_0,y:,ɤ:,s,t,ES312,ES298,ES228,ES-participant5,ES-participant1,FALSE,0,ES,6
EN_TRIP37444_1,i,ɪ,f,s,EN1899,EN1763,EN2503,EN-participant1,EN-participant5,TRUE,1,EN,1
GR_TRIP72609_0,øː,ʏ,ts,k,GR761,GR670,GR524,GR-participant5,GR-participant1,FALSE,0,GR,3
FR_TRIP76116_1,ɔ,œ,f,f,FR3609,FR3566,FR2004,FR-participant5,FR-participant3,TRUE,1,FR,0
EN_TRIP2900_0,æ,ʌ,z,b,EN261,EN364,EN980,EN-participant6,EN-participant4,FALSE,0,EN,1
TU_TRIP3503_0,u,ɯ,f,z,TU191,TU172,TU246,TU-participant3,TU-participant1,FALSE,0,TU,5
BR_TRIP36955_1,o,ɔ,t,f,BR220,BR341,BR1003,BR-participant4,BR-participant5,TRUE,1,BR,2
GR_TRIP61692_0,ʏ,ʊ,f,s,GR326,GR348,GR548,GR-participant4,GR-participant1,FALSE,0,GR,3
GL_TRIP1523_1,i,ɛ,f,f,GLO84,GLO143,GLO58,S04F,S05M,TRUE,1,GL,4
BR_TRIP38638_0,ũ,õ,k,b,BR278,BR423,BR902,BR-participant4,BR-participant5,FALSE,0,BR,2
BR_TRIP7706_0,ẽ,ɐ̃,l,s,BR143,BR138,BR839,BR-participant2,BR-participant1,FALSE,0,BR,2
ES_TRIP16504_1,ø:,ɤ:,m,v,ES339,ES328,ES255,ES-participant5,ES-participant1,TRUE,1,ES,6
GR_TRIP55733_0,iː,ɪ,ɡ,s,GR276,GR303,GR488,GR-participant4,GR-participant3,FALSE,0,GR,3
FR_TRIP8096_0,o,ɔ,z,f,FR803,FR1021,FR1644,FR-participant2,FR-participant4,FALSE,0,FR,0
GR_TRIP6830_1,yː,iː,f,t,GR180,GR174,GR764,GR-participant2,GR-participant5,TRUE,1,GR,3
BR_TRIP14438_0,ɐ̃,ĩ,z,b,BR617,BR504,BR763,BR-participant3,BR-participant1,FALSE,0,BR,2
ES_TRIP13567_1,æ:,y:,l,s,ES307,ES294,ES271,ES-participant5,ES-participant1,TRUE,1,ES,6
EN_TRIP22922_0,ɪ,ʊ,z,f,EN720,EN651,EN2197,EN-participant2,EN-participant7,FALSE,0,EN,1
TU_TRIP9973_1,ɯ,œ,d,ʃ,TU244,TU206,TU88,TU-participant1,TU-participant4,TRUE,1,TU,5
FR_TRIP65129_0,œ,ø,z,b,FR1599,FR1230,FR4446,FR-participant4,FR-participant8,FALSE,0,FR,0
ES_TRIP22578_0,ɤ:,æ:,s,t,ES85,ES97,ES13,ES-participant4,ES-participant2,FALSE,0,ES,6
BR_TRIP65865_1,ẽ,ĩ,l,s,BR839,BR688,BR546,BR-participant1,BR-participant3,TRUE,1,BR,2
GR_TRIP41043_1,ʏ,yː,b,s,GR28,GR4,GR396,GR-participant6,GR-participant3,TRUE,1,GR,3
TU_TRIP7840_0,i,u,ʃ,t,TU15,TU35,TU166,TU-participant2,TU-participant3,FALSE,0,TU,5
EN_TRIP31897_1,ɑ,æ,f,s,EN1219,EN1417,EN10,EN-participant3,EN-participant6,TRUE,1,EN,1
BR_TRIP53536_1,õ,ɐ̃,m,d,BR702,BR679,BR92,BR-participant1,BR-participant2,TRUE,1,BR,2
ES_TRIP27779_0,æ:,a:,m,v,ES187,ES212,ES58,ES-participant3,ES-participant2,FALSE,0,ES,6
BR_TRIP32404_1,ĩ,ẽ,s,t,BR1030,BR921,BR692,BR-participant5,BR-participant1,TRUE,1,BR,2
EN_TRIP36468_0,u,ʊ,z,f,EN1462,EN1342,EN2052,EN-participant3,EN-participant7,FALSE,0,EN,1
FR_TRIP38291_0,ɛ̃,ɑ̃,f,f,FR4094,FR4487,FR3486,FR-participant8,FR-participant5,FALSE,0,FR,0
BR_TRIP57043_1,ɔ,o,t,f,BR825,BR828,BR1000,BR-participant1,BR-participant5,TRUE,1,BR,2
GR_TRIP70267_1,ʊ,ʏ,f,t,GR709,GR694,GR424,GR-participant5,GR-participant3,TRUE,1,GR,3
GL_TRIP1487_1,ɛ,e,p,p,GLO110,GLO107,GLO52,S04F,S05M,TRUE,1,GL,4
FR_TRIP19034_0,ɛ̃,e,z,b,FR1962,FR1914,FR1480,FR-participant3,FR-participant4,FALSE,0,FR,0
GR_TRIP12691_0,øː,yː,ts,k,GR172,GR138,GR85,GR-participant2,GR-participant6,FALSE,0,GR,3
GR_TRIP3847_1,ʏ,ɪ,ɡ,s,GR198,GR188,GR323,GR-participant2,GR-participant4,TRUE,1,GR,3
BR_TRIP55038_1,ũ,u,d,k,BR661,BR835,BR27,BR-participant1,BR-participant2,TRUE,1,BR,2
EN_TRIP39905_1,ʌ,ɑ,z,b,EN1599,EN1639,EN2671,EN-participant1,EN-participant8,TRUE,1,EN,1
GR_TRIP52397_0,iː,yː,z,t,GR120,GR43,GR626,GR-participant6,GR-participant1,FALSE,0,GR,3
ES_TRIP33123_1,ɤ:,ø:,l,s,ES220,ES267,ES19,ES-participant1,ES-participant2,TRUE,1,ES,6
ES_TRIP6338_0,æ:,ø:,s,t,ES64,ES60,ES121,ES-participant2,ES-participant4,FALSE,0,ES,6
TU_TRIP11024_0,u,y,t,s,TU203,TU236,TU100,TU-participant1,TU-participant4,FALSE,0,TU,5
TU_TRIP1688_0,y,œ,t,s,TU80,TU105,TU48,TU-participant4,TU-participant2,FALSE,0,TU,5
ES_TRIP3784_1,y:,ɤ:,m,v,ES57,ES7,ES186,ES-participant2,ES-participant3,TRUE,1,ES,6
BR_TRIP31307_0,i,ɛ,f,s,BR994,BR862,BR794,BR-participant5,BR-participant1,FALSE,0,BR,2
GL_TRIP1705_0,a,aː,g,g,GLO102,GLO1,GLO127,S02M,S05M,FALSE,0,GL,4
BR_TRIP48875_1,i,ĩ,s,k,BR373,BR266,BR132,BR-participant4,BR-participant2,TRUE,1,BR,2
GL_TRIP2320_1,i,e,g,g,GLO99,GLO80,GLO69,S07F,S03M,TRUE,1,GL,4
FR_TRIP50122_0,o,ɔ,z,b,FR526,FR37,FR1888,FR-participant6,FR-participant3,FALSE,0,FR,0
FR_TRIP66474_1,i,e,z,f,FR1668,FR1626,FR3185,FR-participant4,FR-participant7,TRUE,1,FR,0
EN_TRIP24138_1,ɑ,æ,f,s,EN563,EN469,EN1939,EN-participant2,EN-participant7,TRUE,1,EN,1
ES_TRIP28537_1,ɤ:,æ:,s,t,ES166,ES193,ES298,ES-participant3,ES-participant5,TRUE,1,ES,6
FR_TRIP76049_0,e,ɛ,f,f,FR3553,FR3742,FR1930,FR-participant5,FR-participant3,FALSE,0,FR,0
BR_TRIP2928_1,a,ɐ̃,t,t,BR72,BR3,BR729,BR-participant2,BR-participant1,TRUE,1,BR,2
ES_TRIP12840_0,i:,æ:,l,s,ES305,ES307,ES221,ES-participant5,ES-participant1,FALSE,0,ES,6
BR_TRIP4180_0,ĩ,e,z,b,BR15,BR82,BR304,BR-participant2,BR-participant4,FALSE,0,BR,2
TU_TRIP1406_0,i,u,t,s,TU77,TU69,TU45,TU-participant4,TU-participant2,FALSE,0,TU,5
GR_TRIP60074_1,ɪ,iː,f,t,GR302,GR372,GR636,GR-participant4,GR-participant1,TRUE,1,GR,3
ES_TRIP21355_1,y:,ø:,m,v,ES114,ES111,ES45,ES-participant4,ES-participant2,TRUE,1,ES,6
FR_TRIP2187_0,ɔ̃,ɑ̃,f,f,FR924,FR994,FR3732,FR-participant2,FR-participant5,FALSE,0,FR,0
FR_TRIP84142_0,ɔ,ø,z,f,FR3596,FR3968,FR4007,FR-participant5,FR-participant8,FALSE,0,FR,0
FR_TRIP35302_1,y,i,z,b,FR4329,FR4402,FR1270,FR-participant8,FR-participant4,TRUE,1,FR,0
EN_TRIP3374_1,ɪ,æ,z,f,EN181,EN160,EN962,EN-participant6,EN-participant4,TRUE,1,EN,1
BR_TRIP58555_0,e,i,f,s,BR818,BR759,BR1018,BR-participant1,BR-participant5,FALSE,0,BR,2
GL_TRIP2358_0,ɛ,i,g,g,GLO158,GLO99,GLO18,S07F,S03M,FALSE,0,GL,4
GR_TRIP19755_1,yː,ʏ,f,t,GR492,GR511,GR5,GR-participant3,GR-participant6,TRUE,1,GR,3
BR_TRIP18676_0,õ,ɔ,k,s,BR514,BR603,BR653,BR-participant3,BR-participant1,FALSE,0,BR,2
BR_TRIP38638_1,ũ,õ,k,b,BR278,BR423,BR902,BR-participant4,BR-participant5,TRUE,1,BR,2
FR_TRIP76057_0,œ,o,f,f,FR3566,FR3409,FR4245,FR-participant5,FR-participant8,FALSE,0,FR,0
BR_TRIP37271_1,u,o,b,k,BR396,BR237,BR1038,BR-participant4,BR-participant5,TRUE,1,BR,2
ES_TRIP18403_1,æ:,y:,m,v,ES355,ES342,ES259,ES-participant5,ES-participant1,TRUE,1,ES,6
EN_TRIP7163_0,ʌ,æ,z,b,EN2217,EN2014,EN1599,EN-participant7,EN-participant1,FALSE,0,EN,1
TU_TRIP9075_1,ɯ,i,ʃ,t,TU242,TU221,TU161,TU-participant1,TU-participant3,TRUE,1,TU,5
BR_TRIP5676_0,ɐ̃,õ,k,s,BR192,BR19,BR230,BR-participant2,BR-participant4,FALSE,0,BR,2
FR_TRIP12283_1,u,ɔ,f,f,FR1725,FR2004,FR2321,FR-participant3,FR-participant1,TRUE,1,FR,0
BR_TRIP65982_1,ĩ,ɐ̃,l,s,BR845,BR764,BR876,BR-participant1,BR-participant5,TRUE,1,BR,2
TU_TRIP8137_0,ɯ,u,ʃ,t,TU11,TU29,TU117,TU-participant2,TU-participant4,FALSE,0,TU,5
FR_TRIP66201_1,ɑ̃,ɛ̃,z,f,FR1523,FR1483,FR1860,FR-participant4,FR-participant3,TRUE,1,FR,0
EN_TRIP31865_0,ɛ,eɪ,f,s,EN1183,EN1393,EN156,EN-participant3,EN-participant6,FALSE,0,EN,1
GR_TRIP63358_0,aː,yː,b,s,GR260,GR294,GR602,GR-participant4,GR-participant1,FALSE,0,GR,3
ES_TRIP6779_0,a:,ɤ:,s,t,ES65,ES13,ES122,ES-participant2,ES-participant4,FALSE,0,ES,6
BR_TRIP25907_1,ẽ,õ,m,d,BR1024,BR954,BR410,BR-participant5,BR-participant4,TRUE,1,BR,2
TU_TRIP6147_1,y,i,f,z,TU4,TU13,TU154,TU-participant2,TU-participant3,TRUE,1,TU,5
BR_TRIP16944_1,ũ,ẽ,m,d,BR570,BR553,BR277,BR-participant3,BR-participant4,TRUE,1,BR,2
FR_TRIP66345_0,œ,ɔ,z,f,FR1602,FR1306,FR3367,FR-participant4,FR-participant7,FALSE,0,FR,0
ES_TRIP7549_1,ɤ:,i:,l,s,ES31,ES32,ES232,ES-participant2,ES-participant1,TRUE,1,ES,6
GR_TRIP39433_0,ʊ,uː,z,t,GR617,GR560,GR322,GR-participant1,GR-participant4,FALSE,0,GR,3
EN_TRIP14852_0,ʌ,ʊ,t,s,EN2484,EN2397,EN969,EN-participant5,EN-participant4,FALSE,0,EN,1
TU_TRIP4400_1,œ,ɯ,t,s,TU149,TU173,TU65,TU-participant3,TU-participant2,TRUE,1,TU,5
BR_TRIP9418_1,e,ɛ,f,s,BR43,BR75,BR323,BR-participant2,BR-participant4,TRUE,1,BR,2
BR_TRIP14932_0,ũ,ĩ,z,b,BR574,BR554,BR673,BR-participant3,BR-participant1,FALSE,0,BR,2
FR_TRIP6910_0,ɛ̃,e,z,b,FR714,FR865,FR159,FR-participant2,FR-participant6,FALSE,0,FR,0
GR_TRIP66990_1,uː,yː,ts,k,GR334,GR284,GR409,GR-participant4,GR-participant3,TRUE,1,GR,3
EN_TRIP17203_0,i,ɪ,z,b,EN2864,EN2979,EN811,EN-participant8,EN-participant4,FALSE,0,EN,1
GR_TRIP76827_1,aː,ʏ,f,s,GR657,GR693,GR388,GR-participant5,GR-participant3,TRUE,1,GR,3
GL_TRIP150_1,ɔ,o,p,p,GLO132,GLO32,GLO30,S03M,S01F,TRUE,1,GL,4
EN_TRIP27102_0,ɑ,u,z,b,EN772,EN1144,EN1924,EN-participant4,EN-participant7,FALSE,0,EN,1
BR_TRIP32743_1,ũ,ɐ̃,s,t,BR894,BR918,BR337,BR-participant5,BR-participant4,TRUE,1,BR,2
BR_TRIP48469_0,ĩ,i,s,k,BR266,BR373,BR154,BR-participant4,BR-participant2,FALSE,0,BR,2
EN_TRIP3413_0,ʊ,ɪ,z,f,EN207,EN181,EN651,EN-participant6,EN-participant2,FALSE,0,EN,1
FR_TRIP76549_1,ø,œ,f,f,FR3981,FR3566,FR2968,FR-participant5,FR-participant7,TRUE,1,FR,0
GL_TRIP2141_0,i,e,f,f,GLO16,GLO76,GLO58,S01F,S05M,FALSE,0,GL,4
BR_TRIP31849_1,ẽ,ɐ̃,l,s,BR1020,BR1047,BR769,BR-participant5,BR-participant1,TRUE,1,BR,2
ES_TRIP12737_1,i:,y:,l,s,ES293,ES318,ES125,ES-participant5,ES-participant4,TRUE,1,ES,6
GR_TRIP36940_0,øː,ʏ,l,t,GR519,GR587,GR123,GR-participant1,GR-participant6,FALSE,0,GR,3
BR_TRIP17061_1,ĩ,õ,l,g,BR556,BR587,BR689,BR-participant3,BR-participant1,TRUE,1,BR,2
FR_TRIP65103_1,ɛ,ɛ̃,z,b,FR1563,FR1480,FR1812,FR-participant4,FR-participant3,TRUE,1,FR,0
TU_TRIP10892_0,ɯ,y,f,z,TU262,TU222,TU128,TU-participant1,TU-participant4,FALSE,0,TU,5
GR_TRIP23300_1,yː,iː,b,s,GR440,GR462,GR763,GR-participant3,GR-participant5,TRUE,1,GR,3
GR_TRIP48292_0,uː,ʊ,f,t,GR51,GR92,GR576,GR-participant6,GR-participant1,FALSE,0,GR,3
BR_TRIP27873_0,a,ɐ̃,k,s,BR856,BR914,BR359,BR-participant5,BR-participant4,FALSE,0,BR,2
ES_TRIP18456_0,æ:,a:,m,v,ES343,ES344,ES247,ES-participant5,ES-participant1,FALSE,0,ES,6
ES_TRIP29318_1,æ:,y:,s,t,ES193,ES192,ES64,ES-participant3,ES-participant2,TRUE,1,ES,6
BR_TRIP36377_1,õ,ɔ,d,g,BR268,BR379,BR588,BR-participant4,BR-participant3,TRUE,1,BR,2
BR_TRIP66562_0,i,ɛ,d,s,BR758,BR731,BR496,BR-participant1,BR-participant3,FALSE,0,BR,2
GR_TRIP50100_1,iː,ɪ,f,t,GR121,GR48,GR572,GR-participant6,GR-participant1,TRUE,1,GR,3
GR_TRIP67979_0,ʊ,ʏ,z,t,GR710,GR717,GR238,GR-participant5,GR-participant2,FALSE,0,GR,3
BR_TRIP7603_0,ɐ̃,ĩ,l,s,BR138,BR61,BR233,BR-participant2,BR-participant4,FALSE,0,BR,2
TU_TRIP10445_1,i,u,f,z,TU232,TU202,TU177,TU-participant1,TU-participant3,TRUE,1,TU,5
FR_TRIP17801_1,ɔ,u,z,f,FR2219,FR2058,FR2480,FR-participant3,FR-participant1,TRUE,1,FR,0
ES_TRIP6615_0,æ:,a:,s,t,ES64,ES17,ES88,ES-participant2,ES-participant4,FALSE,0,ES,6
GL_TRIP104_1,i,ɛ,p,p,GLO78,GLO39,GLO25,S03M,S04F,TRUE,1,GL,4
ES_TRIP22878_0,i:,æ:,s,t,ES119,ES88,ES14,ES-participant4,ES-participant2,FALSE,0,ES,6
FR_TRIP49482_1,ɔ̃,ɑ̃,z,b,FR80,FR453,FR4247,FR-participant6,FR-participant8,TRUE,1,FR,0
EN_TRIP8682_0,ɪ,ʊ,f,s,EN1991,EN2269,EN1763,EN-participant7,EN-participant1,FALSE,0,EN,1
BR_TRIP8870_1,ĩ,õ,s,t,BR65,BR91,BR849,BR-participant2,BR-participant1,TRUE,1,BR,2
EN_TRIP3354_0,ɪ,i,z,f,EN181,EN22,EN962,EN-participant6,EN-participant4,FALSE,0,EN,1
FR_TRIP50710_1,ɛ̃,ɛ,z,f,FR162,FR345,FR1965,FR-participant6,FR-participant3,TRUE,1,FR,0
GL_TRIP975_0,o,ɔ,f,f,GLO125,GLO61,GLO60,S05M,S02M,FALSE,0,GL,4
ES_TRIP8664_1,æ:,ø:,l,s,ES70,ES66,ES223,ES-participant2,ES-participant1,TRUE,1,ES,6
BR_TRIP55377_0,ũ,ĩ,z,b,BR673,BR687,BR895,BR-participant1,BR-participant5,FALSE,0,BR,2
EN_TRIP36499_1,ʌ,ʊ,z,f,EN1514,EN1342,EN367,EN-participant3,EN-participant6,TRUE,1,EN,1
BR_TRIP51188_0,õ,ẽ,t,t,BR699,BR771,BR21,BR-participant1,BR-participant2,FALSE,0,BR,2
BR_TRIP36633_1,õ,ɔ,k,f,BR271,BR234,BR20,BR-participant4,BR-participant2,TRUE,1,BR,2
EN_TRIP8810_0,u,ʊ,f,s,EN2244,EN2269,EN1878,EN-participant7,EN-participant1,FALSE,0,EN,1
ES_TRIP6410_1,æ:,ɤ:,s,t,ES64,ES25,ES121,ES-participant2,ES-participant4,TRUE,1,ES,6
GR_TRIP30718_0,yː,øː,ts,k,GR531,GR585,GR45,GR-participant1,GR-participant6,FALSE,0,GR,3
BR_TRIP25387_1,ĩ,ɐ̃,z,b,BR1025,BR1046,BR774,BR-participant5,BR-participant1,TRUE,1,BR,2
FR_TRIP66474_0,i,e,z,f,FR1668,FR1626,FR3185,FR-participant4,FR-participant7,FALSE,0,FR,0
TU_TRIP700_1,y,u,f,z,TU123,TU99,TU235,TU-participant4,TU-participant1,TRUE,1,TU,5
FR_TRIP36193_0,i,y,z,f,FR4405,FR4332,FR3827,FR-participant8,FR-participant5,FALSE,0,FR,0
BR_TRIP51876_1,ẽ,õ,t,t,BR771,BR699,BR872,BR-participant1,BR-participant5,TRUE,1,BR,2
GR_TRIP2181_0,ɪ,ʏ,ɡ,s,GR188,GR209,GR750,GR-participant2,GR-participant5,FALSE,0,GR,3
EN_TRIP12623_1,ɪ,i,f,s,EN2436,EN2503,EN411,EN-participant5,EN-participant2,TRUE,1,EN,1
ES_TRIP28920_0,y:,ø:,s,t,ES192,ES165,ES312,ES-participant3,ES-participant5,FALSE,0,ES,6
FR_TRIP76104_1,ɔ,o,f,f,FR3609,FR3409,FR2004,FR-participant5,FR-participant3,TRUE,1,FR,0
BR_TRIP66322_0,ɛ,i,d,s,BR748,BR741,BR927,BR-participant1,BR-participant5,FALSE,0,BR,2
GL_TRIP702_1,aː,a,p,p,GLO6,GLO108,GLO97,S05M,S01F,TRUE,1,GL,4
TU_TRIP7208_0,ɯ,u,t,s,TU53,TU34,TU129,TU-participant2,TU-participant4,FALSE,0,TU,5
BR_TRIP14623_1,ĩ,e,z,b,BR580,BR494,BR304,BR-participant3,BR-participant4,TRUE,1,BR,2
ES_TRIP17553_0,i:,æ:,m,v,ES341,ES331,ES149,ES-participant5,ES-participant3,FALSE,0,ES,6
GR_TRIP59331_0,yː,aː,f,t,GR295,GR316,GR441,GR-participant4,GR-participant3,FALSE,0,GR,3
EN_TRIP27528_1,ʌ,æ,z,f,EN897,EN983,EN2674,EN-participant4,EN-participant8,TRUE,1,EN,1
BR_TRIP15003_1,ũ,ẽ,z,b,BR600,BR550,BR663,BR-participant3,BR-participant1,TRUE,1,BR,2
FR_TRIP12660_0,œ,o,f,f,FR2074,FR2192,FR3566,FR-participant3,FR-participant5,FALSE,0,FR,0
BR_TRIP20768_0,ɐ̃,õ,l,s,BR475,BR567,BR764,BR-participant3,BR-participant1,FALSE,0,BR,2
GR_TRIP18299_0,iː,ʏ,f,t,GR403,GR511,GR121,GR-participant3,GR-participant6,FALSE,0,GR,3
ES_TRIP33047_0,ø:,æ:,l,s,ES267,ES235,ES66,ES-participant1,ES-participant2,FALSE,0,ES,6
TU_TRIP11883_1,ɯ,i,t,s,TU228,TU220,TU160,TU-participant1,TU-participant3,TRUE,1,TU,5
EN_TRIP7308_1,æ,ɪ,z,f,EN2017,EN2197,EN535,EN-participant7,EN-participant2,TRUE,1,EN,1
FR_TRIP57001_1,ɔ,œ,f,f,FR1456,FR1615,FR4475,FR-participant4,FR-participant8,TRUE,1,FR,0
BR_TRIP64101_1,u,o,k,s,BR834,BR718,BR112,BR-participant1,BR-participant2,TRUE,1,BR,2
GR_TRIP77222_0,ʊ,ʏ,f,s,GR708,GR666,GR236,GR-participant5,GR-participant2,FALSE,0,GR,3
GL_TRIP1374_1,ɔ,o,g,g,GLO126,GLO114,GLO75,S04F,S03M,TRUE,1,GL,4
EN_TRIP22267_0,ʊ,ʌ,z,b,EN648,EN456,EN203,EN-participant2,EN-participant6,FALSE,0,EN,1
FR_TRIP65103_0,ɛ,ɛ̃,z,b,FR1563,FR1480,FR1812,FR-participant4,FR-participant3,FALSE,0,FR,0
ES_TRIP36947_0,y:,ɤ:,m,v,ES246,ES244,ES57,ES-participant1,ES-participant2,FALSE,0,ES,6
BR_TRIP2113_1,ũ,ɐ̃,m,d,BR170,BR52,BR334,BR-participant2,BR-participant4,TRUE,1,BR,2
TU_TRIP5093_0,u,i,ʃ,t,TU136,TU179,TU248,TU-participant3,TU-participant1,FALSE,0,TU,5
GR_TRIP38022_1,aː,ʏ,b,s,GR602,GR547,GR658,GR-participant1,GR-participant5,TRUE,1,GR,3
BR_TRIP27614_1,o,ɔ,z,f,BR1005,BR1057,BR394,BR-participant5,BR-participant4,TRUE,1,BR,2
GL_TRIP1189_1,ɛ,i,g,g,GLO59,GLO133,GLO148,S05M,S02M,TRUE,1,GL,4
TU_TRIP6672_0,i,y,t,s,TU45,TU48,TU77,TU-participant2,TU-participant4,FALSE,0,TU,5
FR_TRIP76049_1,e,ɛ,f,f,FR3553,FR3742,FR1930,FR-participant5,FR-participant3,TRUE,1,FR,0
